Index,City,Country,Latitude,Longitude,Date,Cloudiness,Humidity,Temperature(F),Wind Speed(MPH)
374,Troy,US,42.73,-73.69,1533442800,90,93,64.76,2.19
375,Anshun,CN,26.25,105.93,1533444353,68,84,74.83,4.09
376,Macapa,BR,0.05,-51.07,1533441600,40,100,78.8,5.82
377,Kattivakkam,IN,13.22,80.32,1533443400,92,66,89.6,9.17
378,Songea,TZ,-10.68,35.65,1533441600,20,76,53.6,3.76
379,Baiao,BR,-2.79,-49.67,1533444355,0,90,74.83,2.98
380,Arys,KZ,42.43,68.8,1533441600,0,30,84.2,2.24
381,Whitehorse,CA,60.72,-135.06,1533441600,75,43,69.8,13.87
382,Guadalupe Victoria,MX,21.68,-105.33,1533444356,64,99,85.09,2.3
383,Luderitz,,-26.65,15.16,1533444356,20,93,47.92,3.76
384,Guaraniacu,BR,-25.1,-52.88,1533444356,80,99,55.3,3.42
385,Sambava,MG,-14.27,50.17,1533444357,76,100,73.93,18.3
386,New Ross,IE,52.4,-6.94,1533444357,32,92,58.36,3.42
387,Kokstad,ZA,-30.55,29.42,1533444357,0,38,54.58,9.69
388,Komsomolskiy,RU,67.55,63.78,1533444358,64,87,47.47,5.99
389,Olinda,BR,-22.82,-43.41,1533441600,75,88,67.98,6.93
390,Fort Smith,US,35.39,-94.42,1533442500,1,61,78.82,3.36
391,Kiunga,PG,-6.12,141.3,1533444359,88,89,76.0,2.75
392,Taltal,CL,-25.41,-70.49,1533444359,0,88,43.87,2.75
393,Ilhabela,BR,-23.78,-45.36,1533444360,92,100,67.81,4.76
394,Margate,ZA,-30.86,30.37,1533444360,24,84,63.4,9.69
395,Namatanai,PG,-3.66,152.44,1533444360,88,100,76.27,2.42
396,Atikokan,CA,48.76,-91.62,1533444361,100,98,62.95,5.21
397,Mayo,CA,63.59,-135.9,1533441600,90,93,59.0,2.24
398,College,US,64.86,-147.8,1533441480,90,59,65.57,8.05
399,Tondano,ID,1.3,124.91,1533443400,20,46,91.4,8.05
400,Bonnyville,CA,54.27,-110.74,1533441600,40,72,64.4,3.36
401,Krasnokamensk,RU,50.1,118.04,1533444362,12,75,72.58,4.99
402,Plettenberg Bay,ZA,-34.05,23.37,1533444363,88,100,54.76,5.66
403,Dongsheng,CN,29.72,112.52,1533444363,44,71,94.72,7.0
404,Astana,KZ,51.13,71.43,1533441600,0,64,69.8,8.95
405,Paide,EE,58.89,25.57,1533444364,24,83,68.26,7.56
406,Aizpute,LV,56.72,21.61,1533442800,12,93,66.2,7.23
407,Pascagoula,US,30.37,-88.56,1533443700,1,100,76.71,3.42
408,Weiser,US,44.25,-116.97,1533441180,1,21,80.6,9.17
409,Linxia,CN,35.6,103.21,1533444366,8,77,69.43,3.65
410,Saint George,BM,32.38,-64.68,1533441300,20,74,80.6,12.75
411,Opunake,NZ,-39.45,173.86,1533444366,92,100,53.23,15.5
412,La Ronge,CA,55.1,-105.3,1533441600,40,77,59.0,9.17
413,Zvecka,RS,44.64,20.16,1533443400,0,93,65.28,2.98
414,Tilichiki,RU,60.47,166.1,1533444368,92,92,52.78,4.99
415,Alta Floresta,BR,-9.87,-56.08,1533444368,8,62,77.08,2.19
416,Nanakuli,US,21.39,-158.15,1533442380,75,83,80.17,12.75
417,Andros Town,BS,24.73,-77.79,1533441600,20,74,82.4,6.93
418,Harper,LR,4.38,-7.71,1533444369,12,100,76.81,10.02
419,Saldanha,ZA,-33.01,17.94,1533444284,64,98,56.02,5.77
420,Revelstoke,CA,50.99,-118.19,1533441600,20,77,64.4,3.36
421,Watsa,CD,3.04,29.53,1533444370,0,89,71.5,4.09
422,Turukhansk,RU,65.8,87.96,1533444371,76,96,51.43,19.98
423,Clinton,US,30.87,-91.02,1533442500,1,94,73.99,3.65
424,Ternate,ID,0.8,127.4,1533444232,80,99,82.75,12.82
425,Nakamura,JP,35.17,136.87,1533441600,75,66,87.8,8.05
426,Egvekinot,RU,66.32,-179.17,1533444373,80,38,55.39,4.21
427,Georgiyevka,KZ,43.04,74.71,1533444373,0,32,86.26,4.99
428,Catuday,PH,16.29,119.81,1533444373,64,100,81.49,3.53
429,Santa Vitoria do Palmar,BR,-33.52,-53.37,1533444374,92,98,51.52,15.73
430,Sur,OM,22.57,59.53,1533444374,0,80,88.24,7.0
431,Udachnyy,RU,66.42,112.4,1533444375,12,50,60.25,4.99
432,Havre-Saint-Pierre,CA,50.23,-63.6,1533443940,90,100,59.0,6.93
433,Sola,VU,-13.88,167.55,1533444375,0,93,79.15,15.05
434,Plouzane,FR,48.38,-4.62,1533443400,90,100,59.9,3.36
435,Zyryanka,RU,65.73,150.89,1533444376,0,54,60.25,5.77
436,Urusha,RU,54.05,122.9,1533444377,68,65,71.14,5.21
437,Tazovskiy,RU,67.47,78.7,1533444377,92,100,49.36,23.0
438,Sovetskiy,RU,56.76,48.47,1533444378,80,100,64.84,3.2
439,Tuy Hoa,VN,13.08,109.3,1533444235,56,72,88.15,17.07
440,Washington DC.,US,38.9,-77.04,1533442500,20,83,73.53,5.82
441,Taoudenni,ML,22.68,-3.98,1533444378,32,51,80.86,4.54
442,Heihe,CN,33.22,106.45,1533444379,36,60,86.62,2.98
443,Havelock,US,34.88,-76.9,1533441480,1,100,76.28,3.36
444,Panzhihua,CN,26.59,101.72,1533444379,12,94,73.48,2.75
445,Spencer,US,43.14,-95.14,1533442500,1,88,70.07,5.82
446,Riyadh,SA,24.63,46.72,1533441600,0,13,89.6,3.36
447,Santa Flavia,IT,38.09,13.54,1533442800,0,83,77.0,4.7
448,Farah,AF,32.37,62.11,1533444380,0,14,98.5,4.54
449,Camopi,GF,3.17,-52.33,1533444381,12,88,74.2,2.64
450,Iaciara,BR,-14.1,-46.63,1533444381,32,68,69.25,3.09
451,Kupang,ID,-10.16,123.6,1533441600,75,58,86.0,17.22
452,Leh,IN,34.16,77.58,1533444382,0,56,47.65,1.41
453,Sao Filipe,CV,14.9,-24.5,1533444382,80,99,76.54,10.25
454,Maragogi,BR,-9.01,-35.22,1533444383,92,97,72.22,4.54
455,Roma,AU,-26.57,148.79,1533444383,44,59,72.94,9.24
456,Jamestown,US,41.5,-71.37,1533443160,90,100,71.96,9.01
457,Saint-Pierre,MQ,14.74,-61.18,1533441600,92,88,78.8,8.05
458,Sulina,RO,45.16,29.65,1533444384,0,87,76.9,7.0
459,Iquitos,PE,-3.75,-73.25,1533441600,0,94,73.4,2.19
460,Artigas,UY,-30.4,-56.47,1533444385,0,79,38.11,7.0
461,Leningradskiy,RU,69.38,178.42,1533444385,80,99,36.4,8.68
462,Crystal Beach,CA,42.87,-79.06,1533441240,1,73,68.52,5.82
463,Agadez,NE,16.97,7.99,1533444386,36,68,79.78,9.46
464,Paamiut,GL,61.99,-49.67,1533444386,56,96,40.9,2.98
465,Ponta Delgada,PT,37.73,-25.67,1533443400,75,77,69.8,8.05
466,San Cristobal,EC,-1.02,-79.44,1533444387,88,100,61.24,1.07
467,Sawai Madhopur,IN,26.02,76.35,1533444387,88,72,85.36,10.69
468,Kloulklubed,PW,7.04,134.26,1533441300,75,70,86.0,9.17
469,Ruteng,ID,-8.61,120.46,1533444388,80,99,72.58,0.74
470,Samarai,PG,-10.62,150.67,1533444389,8,97,79.33,15.05
471,Los Llanos de Aridane,ES,28.66,-17.92,1533443400,64,83,73.4,13.87
472,Talcahuano,CL,-36.72,-73.12,1533441600,90,93,51.8,4.7
473,Lorengau,PG,-2.02,147.27,1533444390,88,100,76.45,2.19
474,Polovinnoye,RU,54.79,65.99,1533444390,0,64,68.53,9.01
475,Gunjur,GM,13.18,-16.76,1533441600,40,83,78.8,5.82
476,Port Hedland,AU,-20.31,118.58,1533441600,0,25,77.0,13.87
477,Saint-Joseph,RE,-21.37,55.62,1533441600,20,52,68.81,4.7
478,Oranjemund,,-28.55,16.43,1533444391,100,100,57.73,6.55
479,Matagami,CA,49.76,-77.63,1533441600,1,72,66.2,6.93
480,Kaitangata,NZ,-46.28,169.85,1533444392,0,89,40.9,2.64
481,Pisco,PE,-13.71,-76.2,1533441600,20,87,59.0,2.24
482,Kichera,RU,55.93,110.1,1533444392,88,65,65.02,1.86
483,Hervey Bay,AU,-25.3,152.85,1533444393,0,85,70.42,4.99
484,Bathsheba,BB,13.22,-59.52,1533441600,40,83,80.6,10.29
485,Salzwedel,DE,52.85,11.15,1533442800,20,93,60.8,6.93
486,Batagay,RU,67.65,134.64,1533444394,68,53,71.14,6.55
487,Pak Phanang,TH,8.35,100.2,1533441600,40,56,93.2,4.7
488,Ileza,RU,61.05,43.9,1533444395,80,84,64.66,11.81
489,Srednekolymsk,RU,67.46,153.71,1533444395,0,55,57.19,6.44
490,Cam Ranh,VN,11.92,109.15,1533444396,88,82,86.35,1.97
491,Les Escoumins,CA,48.35,-69.4,1533444396,88,96,58.09,2.19
492,Amahai,ID,-3.31,129.0,1533444396,92,100,77.98,10.13
493,Pouebo,NC,-20.4,164.57,1533444397,56,67,71.5,5.99
494,Liuzhou,CN,24.32,109.41,1533444397,80,92,82.84,2.64
495,Tsabong,BW,-26.02,22.4,1533444397,48,45,51.61,2.86
496,Bontang,ID,0.12,117.47,1533444398,36,79,86.98,13.6
497,Verkhoyansk,RU,67.55,133.39,1533444398,76,51,69.88,5.99
498,Gondanglegi,ID,-7.75,112.01,1533444398,0,43,84.37,13.04
499,Ukiah,US,39.15,-123.21,1533441360,1,31,73.4,4.7
500,Berdigestyakh,RU,62.1,126.7,1533444399,92,70,55.39,10.92
501,Nome,US,30.04,-94.42,1533442500,1,83,75.16,3.76
502,Moyale,ET,3.52,39.05,1533444400,92,96,64.66,9.57
503,Loandjili,CG,-4.77,11.87,1533444400,88,94,70.06,4.43
504,Kununurra,AU,-15.77,128.74,1533441600,8,19,89.6,9.17
505,Tupik,RU,54.43,119.94,1533444401,0,70,64.75,3.42
506,Sondershausen,DE,51.37,10.87,1533442800,75,82,66.2,8.05
507,Richards Bay,ZA,-28.77,32.06,1533444401,0,81,65.56,5.99
508,Korhogo,CI,9.46,-5.63,1533444402,88,99,68.98,5.77
509,Sabang,ID,1.17,120.82,1533444402,0,100,83.56,9.46
510,Port Lincoln,AU,-34.72,135.86,1533444403,56,100,52.78,17.4
511,Dondo,MZ,-19.62,34.74,1533444403,0,95,66.91,6.22
512,Manokwari,ID,-0.87,134.08,1533444403,68,97,83.92,13.71
513,Laredo,US,27.51,-99.51,1533442500,1,51,84.06,23.04
514,Leshukonskoye,RU,64.9,45.76,1533444404,88,56,59.89,4.54
515,Roswell,US,33.39,-104.52,1533442500,1,39,84.2,11.41
516,Naze,JP,28.37,129.48,1533441600,40,79,86.0,5.82
517,Mana,GF,5.67,-53.78,1533444405,20,91,75.1,3.2
518,Griffith,AU,-34.29,146.06,1533444405,0,65,61.87,16.73
519,Kudahuvadhoo,MV,2.67,72.89,1533444406,32,100,82.93,6.55
520,Nevelsk,RU,46.67,141.86,1533441600,20,64,71.6,11.18
521,Tura,RU,64.27,100.22,1533444406,0,60,63.31,8.34
522,Te Anau,NZ,-45.41,167.72,1533444407,0,96,38.83,1.86
523,Hami,CN,42.84,93.51,1533444222,0,50,91.48,4.88
524,Rafaela,AR,-31.25,-61.49,1533444407,0,78,35.95,3.53
525,Gopalganj,IN,26.46,84.44,1533444408,88,100,80.95,4.76
526,Awbari,LY,26.59,12.77,1533444408,24,21,84.55,10.47
527,Sanchor,IN,24.76,71.77,1533444408,92,64,85.72,15.05
528,Ullapool,GB,57.9,-5.16,1533444409,92,100,55.12,15.05
529,Manjacaze,MZ,-24.71,33.88,1533444409,0,87,66.1,14.05
530,Surin,TH,14.88,103.49,1533441600,40,70,87.8,11.41
531,Davila,PH,18.47,120.58,1533441600,20,79,87.8,4.7
532,Kumbo,CM,6.21,10.69,1533444410,48,94,61.69,2.75
533,Pundaguitan,PH,6.37,126.17,1533444410,64,94,85.63,13.27
534,Guarda,PT,40.54,-7.27,1533444411,0,71,63.22,3.87
535,Shangrao,CN,28.45,117.97,1533444134,44,89,81.04,1.97
536,Uarini,BR,-2.98,-65.16,1533444411,12,88,76.63,5.66
537,Stepnogorsk,KZ,52.35,71.88,1533444412,0,56,73.3,6.67
538,Zaraza,VE,9.35,-65.33,1533444412,56,94,74.92,5.99
539,Mundo Nuevo,MX,18.09,-94.39,1533440760,75,69,82.4,17.22
540,Severiano Melo,BR,-5.78,-37.96,1533444413,0,65,73.75,8.68
541,Hualmay,PE,-11.1,-77.61,1533444413,36,94,53.59,5.1
542,Matay,EG,28.42,30.79,1533444413,0,53,85.54,9.13
543,Juan Lacaze,UY,-34.43,-57.44,1533444414,0,75,35.5,3.2
544,Batangafo,CF,7.3,18.29,1533444414,64,97,70.51,6.78
545,Kharp,RU,66.82,65.8,1533444415,32,80,49.36,10.8
546,Mnogovershinnyy,RU,53.94,139.92,1533444464,0,56,71.68,2.64
547,Golden Gate,US,38.36,-88.2,1533442500,1,88,71.38,4.21
548,North Bend,US,43.41,-124.22,1533442500,90,82,59.83,3.36
549,Lagoa,PT,37.14,-8.45,1533443400,0,57,77.0,5.82
550,Ginir,ET,7.14,40.71,1533444417,0,55,69.25,12.82
551,Port Macquarie,AU,-31.43,152.91,1533441600,0,55,66.2,6.93
552,Cururupu,BR,-1.82,-44.87,1533444418,24,89,76.0,6.55
553,Goba,ET,7.01,39.97,1533444418,0,81,60.34,4.65
554,Chandbali,IN,20.77,86.74,1533444418,68,100,80.86,13.82
555,Bonfim,BR,-20.33,-44.24,1533444218,0,86,54.13,2.75
556,Kukuna,SL,8.64,-12.57,1533444419,92,99,71.41,2.75
557,Kurilsk,RU,45.23,147.88,1533444419,0,85,60.61,1.52
558,Sahuaripa,MX,29.05,-109.23,1533444419,36,89,69.97,2.3
559,Suleja,NG,9.18,7.18,1533441600,0,88,71.6,2.24
560,Salekhard,RU,66.54,66.62,1533444420,36,66,50.08,10.8
561,Celinac,BA,44.72,17.33,1533443400,0,93,64.4,2.24
562,Madinat Sittah Uktubar,EG,29.82,31.05,1533443400,0,83,80.6,4.7
563,Svetlogorsk,RU,53.14,59.15,1533441600,75,77,64.4,4.47
